Date,Price,Open,High,Low,Change %
12/01/2023,4.392,4.492,4.52,4.387,-2.32%
11/30/2023,4.497,4.45,4.539,4.428,1.22%
11/29/2023,4.443,4.507,4.514,4.438,-1.39%
11/28/2023,4.505,4.546,4.571,4.504,-0.78%
11/27/2023,4.541,4.623,4.638,4.523,-1.35%
11/24/2023,4.603,4.58,4.624,4.571,0.47%
11/23/2023,4.581,4.575,4.581,4.575,0.83%
11/22/2023,4.544,4.553,4.579,4.518,-0.21%
11/21/2023,4.553,4.569,4.609,4.525,-0.50%
11/20/2023,4.576,4.62,4.64,4.555,-0.39%
11/17/2023,4.594,4.621,4.651,4.563,-0.54%
11/16/2023,4.618,4.689,4.691,4.607,-1.70%
11/15/2023,4.698,4.616,4.717,4.597,1.48%
11/14/2023,4.63,4.758,4.786,4.594,-2.67%
11/13/2023,4.757,4.772,4.808,4.735,0.02%
11/10/2023,4.756,4.764,4.788,4.705,-0.34%
11/09/2023,4.772,4.624,4.834,4.616,3.48%
11/08/2023,4.612,4.739,4.765,4.608,-2.45%
11/07/2023,4.727,4.81,4.833,4.707,-1.82%
11/06/2023,4.815,4.783,4.838,4.765,0.95%
11/03/2023,4.77,4.803,4.827,4.673,-0.62%
11/02/2023,4.8,4.916,4.933,4.788,-2.50%
11/01/2023,4.923,5.089,5.097,4.922,-3.28%
10/31/2023,5.09,5.05,5.097,4.956,0.91%
10/30/2023,5.044,5.044,5.096,4.999,0.52%
10/27/2023,5.018,4.997,5.075,4.995,0.50%
10/26/2023,4.993,5.082,5.131,4.978,-1.96%
10/25/2023,5.093,4.946,5.097,4.929,3.27%
10/24/2023,4.931,5.01,5.03,4.929,-1.43%
10/23/2023,5.003,5.122,5.179,4.967,-1.48%
10/20/2023,5.078,5.107,5.146,5.046,-0.61%
10/19/2023,5.109,5.025,5.119,4.978,2.24%
10/18/2023,4.997,4.931,5.029,4.917,1.47%
10/17/2023,4.925,4.859,4.985,4.85,1.61%
10/16/2023,4.847,4.791,4.884,4.788,1.90%
10/13/2023,4.756,4.853,4.853,4.74,-2.03%
10/12/2023,4.855,4.686,4.886,4.67,3.36%
10/11/2023,4.697,4.836,4.838,4.691,-2.91%
10/10/2023,4.838,4.816,4.913,4.799,0.43%
10/09/2023,4.817,4.824,4.824,4.817,-2.87%
10/06/2023,4.96,4.899,5.053,4.881,1.40%
10/05/2023,4.891,4.863,4.929,4.841,0.59%
10/04/2023,4.863,4.933,5.011,4.851,-1.22%
10/03/2023,4.923,4.789,4.95,4.779,2.65%
10/02/2023,4.796,4.733,4.819,4.722,1.85%
09/29/2023,4.709,4.706,4.74,4.648,0.02%
09/28/2023,4.707,4.72,4.808,4.698,-0.20%
09/27/2023,4.717,4.669,4.74,4.623,0.65%
09/26/2023,4.687,4.662,4.7,4.603,0.83%
09/25/2023,4.648,4.535,4.671,4.534,2.64%
09/22/2023,4.529,4.576,4.59,4.51,-1.08%
09/21/2023,4.578,4.446,4.584,4.446,3.11%
09/20/2023,4.44,4.428,4.451,4.383,0.25%
09/19/2023,4.429,4.385,4.437,4.382,1.05%
09/18/2023,4.383,4.385,4.392,4.382,-0.86%
09/15/2023,4.421,4.384,4.423,4.37,0.94%
09/14/2023,4.38,4.339,4.397,4.319,0.80%
09/13/2023,4.345,4.354,4.401,4.327,-0.15%
09/12/2023,4.352,4.384,4.386,4.341,-0.55%
09/11/2023,4.376,4.356,4.391,4.348,0.98%
09/08/2023,4.334,4.344,4.363,4.3,-0.20%
09/07/2023,4.342,4.365,4.377,4.339,-0.51%
09/06/2023,4.365,4.368,4.387,4.343,-0.24%
09/05/2023,4.375,4.317,4.389,4.314,1.36%
09/04/2023,4.317,4.301,4.324,4.298,0.31%
09/03/2023,4.303,4.301,4.308,4.301,0.13%
09/01/2023,4.297,4.218,4.313,4.2,2.10%
08/31/2023,4.209,4.224,4.23,4.18,-0.33%
08/30/2023,4.223,4.244,4.271,4.214,-0.07%
08/29/2023,4.226,4.275,4.314,4.21,-1.25%
08/28/2023,4.279,4.294,4.303,4.252,0.00%
08/25/2023,4.279,4.296,4.324,4.266,-0.55%
08/24/2023,4.303,4.267,4.31,4.246,0.80%
08/23/2023,4.269,4.396,4.397,4.259,-3.12%
08/22/2023,4.406,4.458,4.469,4.399,-0.99%
08/21/2023,4.45,4.383,4.474,4.379,1.72%
08/18/2023,4.375,4.382,4.407,4.339,-0.40%
08/17/2023,4.393,4.354,4.426,4.354,0.84%
08/16/2023,4.356,4.314,4.379,4.299,0.80%
08/15/2023,4.321,4.294,4.321,4.286,0.51%
08/14/2023,4.299,4.273,4.301,4.24,0.82%
08/11/2023,4.264,4.241,4.291,4.24,0.22%
08/10/2023,4.255,4.176,4.27,4.143,1.91%
08/09/2023,4.175,4.196,4.218,4.164,-0.87%
08/08/2023,4.212,4.266,4.266,4.156,-1.41%
08/07/2023,4.272,4.206,4.276,4.2,1.64%
08/04/2023,4.203,4.303,4.351,4.198,-2.17%
08/03/2023,4.296,4.178,4.326,4.175,2.68%
08/02/2023,4.184,4.092,4.207,4.085,1.98%
08/01/2023,4.102,4.012,4.115,4.007,2.20%
07/31/2023,4.014,4.025,4.048,3.989,0.02%
07/28/2023,4.013,4.051,4.085,4.01,-0.66%
07/27/2023,4.04,3.941,4.07,3.923,2.44%
07/26/2023,3.944,3.942,3.961,3.906,0.19%
07/25/2023,3.936,3.925,3.959,3.916,0.21%
07/24/2023,3.928,3.908,3.934,3.865,0.71%
07/21/2023,3.9,3.911,3.912,3.871,-0.33%
07/20/2023,3.913,3.845,3.928,3.84,1.89%
07/19/2023,3.841,3.901,3.906,3.832,-1.50%
07/18/2023,3.899,3.927,3.929,3.885,-0.80%
07/17/2023,3.931,3.919,3.948,3.885,0.12%
07/14/2023,3.926,3.907,3.932,3.879,0.52%
07/13/2023,3.905,3.95,3.97,3.891,-1.20%
07/12/2023,3.953,4.006,4.03,3.937,-1.52%
07/11/2023,4.014,4.038,4.042,3.993,-0.59%
07/10/2023,4.038,4.05,4.086,4.024,-0.23%
07/07/2023,4.047,4.001,4.061,3.984,1.21%
07/06/2023,3.999,3.932,4.022,3.929,1.84%
07/05/2023,3.927,3.856,3.952,3.854,1.84%
07/04/2023,3.856,3.863,3.891,3.848,-0.35%
07/03/2023,3.87,3.866,3.882,3.812,0.14%
06/30/2023,3.864,3.9,3.936,3.835,-0.89%
06/29/2023,3.899,3.811,3.927,3.81,2.27%
06/28/2023,3.812,3.84,3.85,3.794,-0.87%
06/27/2023,3.846,3.818,3.85,3.786,0.78%
06/26/2023,3.816,3.803,3.829,3.768,0.05%
06/23/2023,3.814,3.867,3.876,3.786,-1.45%
06/22/2023,3.87,3.811,3.881,3.804,1.60%
06/21/2023,3.81,3.823,3.874,3.8,-0.07%
06/20/2023,3.812,3.911,3.913,3.8,-2.50%
06/19/2023,3.91,3.849,3.926,3.841,1.53%
06/18/2023,3.851,3.86,3.86,3.849,-0.05%
06/16/2023,3.853,3.841,3.888,3.827,0.33%
06/15/2023,3.84,3.883,3.92,3.802,-0.99%
06/14/2023,3.879,3.923,3.943,3.872,-1.36%
06/13/2023,3.932,3.88,3.948,3.837,1.14%
06/12/2023,3.888,3.878,3.938,3.85,0.12%
06/09/2023,3.883,3.891,3.925,3.873,-0.07%
06/08/2023,3.886,3.944,3.98,3.879,-1.57%
06/07/2023,3.948,3.848,3.952,3.835,2.46%
06/06/2023,3.853,3.888,3.92,3.844,-0.92%
06/05/2023,3.889,3.896,3.947,3.861,-0.02%
06/02/2023,3.889,3.824,3.891,3.818,1.86%
06/01/2023,3.819,3.857,3.885,3.802,-1.06%
