時間,五大行庫平均房貸利率(%)
112/09,2.08
112/08,2.09
112/07,2.10
112/06,2.10
112/05,2.10
112/04,2.08
112/03,1.99
112/02,1.98
112/01,1.95
111/12,1.86
111/11,1.85
111/10,1.83
111/09,1.73
111/08,1.73
111/07,1.70
111/06,1.61
111/05,1.60
111/04,1.56
111/03,1.38
111/02,1.37
111/01,1.36
110/12,1.36
110/11,1.35
110/10,1.35
110/09,1.35
110/08,1.35
110/07,1.35
110/06,1.35
110/05,1.35
110/04,1.36
110/03,1.36
110/02,1.37
110/01,1.36
109/12,1.36
109/11,1.36
109/10,1.37
109/09,1.36
109/08,1.36
109/07,1.36
109/06,1.36
109/05,1.35
109/04,1.38
109/03,1.59
109/02,1.61
109/01,1.62
108/12,1.61
108/11,1.62
108/10,1.62
108/09,1.62
108/08,1.62
108/07,1.62
108/06,1.62
108/05,1.62
108/04,1.62
108/03,1.63
108/02,1.64
108/01,1.63
107/12,1.62
107/11,1.63
107/10,1.63
107/09,1.62
107/08,1.63
107/07,1.62
107/06,1.62
107/05,1.63
107/04,1.63
107/03,1.63
107/02,1.63
107/01,1.64
106/12,1.63
106/11,1.63
106/10,1.63
106/09,1.63
106/08,1.64
106/07,1.64
106/06,1.65
106/05,1.66
106/04,1.67
106/03,1.67
106/02,1.67
106/01,1.67
105/12,1.66
105/11,1.68
105/10,1.66
105/09,1.67
105/08,1.68
105/07,1.70
105/06,1.72
105/05,1.73
105/04,1.74
105/03,1.82
105/02,1.84
105/01,1.85
104/12,1.90
104/11,1.91
104/10,1.91
104/09,1.96
104/08,1.97
104/07,1.98
104/06,1.98
104/05,1.98
104/04,1.99
104/03,1.99
104/02,1.98
104/01,1.99
103/12,1.96
103/11,1.96
103/10,1.98
103/09,1.97
103/08,1.96
103/07,1.96
103/06,1.96
103/05,1.96
103/04,1.96
103/03,1.97
103/02,1.97
103/01,1.96
102/12,1.93
102/11,1.94
102/10,1.95
102/09,1.94
102/08,1.95
102/07,1.95
102/06,1.95
102/05,1.98
102/04,1.95
102/03,1.95
102/02,1.97
102/01,1.95
101/12,1.91
101/11,1.91
101/10,1.90
101/09,1.90
101/08,1.90
101/07,1.89
101/06,1.88
101/05,1.89
101/04,1.88
101/03,1.89
101/02,1.90
101/01,1.89
100/12,1.88
100/11,1.89
100/10,1.89
100/09,1.88
100/08,1.88
100/07,1.87
100/06,1.83
100/05,1.83
100/04,1.79
100/03,1.77
100/02,1.78
100/01,1.76
