年度季別,全國,新北市,臺北市,桃園市,臺中市,臺南市,高雄市
101Q3,78.96,83.4,91.34,74.89,73.96,75.74,72.7
101Q4,79.75,85.12,92.42,75.66,74.49,75.42,74.48
102Q1,82.82,88.46,94.42,80.74,78.87,77.6,76.07
102Q2,86.71,92.83,99.06,86.89,80.62,81.82,81.56
102Q3,88.94,95.02,101.83,91.79,84.65,84.92,84.74
102Q4,90.77,98.42,104.06,91.93,85.83,86.34,88.62
103Q1,94.03,101.09,107.3,96.52,91.67,90.51,91.31
103Q2,95.65,103.34,108.17,97.29,95.36,92.88,92.78
103Q3,97.68,102.76,108.81,99.82,95.5,95.35,93.62
103Q4,99.07,103.55,107,103.9,98.09,96.62,98.71
104Q1,100.77,102.77,105.94,101.93,103.74,101.57,100.08
104Q2,100.15,102.91,106.5,103.15,103.56,100.3,100.92
104Q3,100.08,102.63,105.17,102.28,100.63,99.45,100.8
104Q4,99.6,100.72,101.48,101.35,99.04,98.9,99.72
105Q1,99.32,100.68,100.08,103.69,98.38,98.53,97.78
105Q2,100.76,100.48,100.2,99.18,100.09,100.22,99.74
105Q3,100.69,100.05,100.39,99.58,101.65,100.74,100.73
105Q4,99.09,99.57,99.27,103.4,99.39,100.04,99.39
106Q1,99.42,99.52,98.29,104.56,100.69,100.1,99.66
106Q2,99.86,99.16,98.54,99.75,101.45,100.77,101.93
106Q3,100.69,99.78,99.14,104.38,101.81,99.21,101.73
106Q4,100.6,100.93,98.33,102.65,103.05,99.68,101.63
107Q1,100.62,101.48,99.46,102.42,103.02,99.63,100.73
107Q2,100.08,101.28,100.01,102.38,101.89,100.53,99.64
107Q3,100.63,102.56,100.5,103.96,102.43,101.62,100.24
107Q4,100.8,102.38,100.07,103.82,103.19,102.89,100.83
108Q1,101.09,102.3,100.11,103.72,103.59,103.18,101.55
108Q2,101.59,102.49,99.59,103.74,103.81,104.67,102.13
108Q3,103.57,102.95,100.52,104.46,104.59,107.07,103.35
108Q4,104.14,103.46,100.8,104.64,105.48,107.88,104.29
109Q1,104.69,103.7,100.61,105.09,106.37,108.95,104.85
109Q2,105.39,103.9,100.7,105.8,107.64,110.38,105.24
109Q3,106.89,105.16,102.3,108.04,109.85,113.2,106.2
109Q4,108.17,106.11,103.65,109.43,111.4,115.91,107.58
110Q1,110.61,108.03,105.55,111.42,115.13,119.73,110.6
110Q2,112.42,108.89,106.72,113.92,117.62,122.29,111.55
110Q3,114.83,110.9,108.47,116.84,121.01,126.03,114.49
110Q4,117.5,112.69,109.44,120.64,124.28,129.68,118
111Q1,121.01,116.13,111.53,123.9,128.81,133.59,123.54
111Q2,123.97,118.57,112.67,126.89,132.06,136.56,127.07
111Q3,126.33,120.95,113.61,128.68,135.11,139.21,130.57
111Q4,127.51,121.33,113.08,130.3,135.97,140.25,131.59
112Q1,128.85,123.36,113.05,132.2,137.73,142.67,130.16
112Q2,130.8,124.63,114.22,134.8,140.01,143.41,132.73
