Date,Open,High,Low,Close,VWAP,Unadj. Open,Unadj. High,Unadj. Low,Unadj. Close,Unadj. VWAP,Volume,Change Percent,Change,Trade Value
2023/12/1,91.31,93.0599,91.1316,92.99,92.4878,91.31,93.0599,91.1316,92.99,92.4878,64172227,1.883,1.719,5950497038
2023/11/30,91.6797,91.9987,90.8673,91.271,91.3657,91.97,92.29,91.155,91.56,91.655,60520870,-1.155,-1.0666,5552855282
2023/11/29,91.8193,92.4025,91.4854,92.3377,92.0974,92.11,92.695,91.775,92.63,92.389,61647846,1.257,1.1464,5701373285
2023/11/28,90.6231,91.2411,90.4985,91.1913,90.9515,90.91,91.53,90.785,91.48,91.2394,44989267,0.197,0.179432,4106636708
2023/11/27,90.015,91.0517,89.9203,91.0119,90.6222,90.3,91.34,90.205,91.3,90.9091,39804428,1.67,1.4953,3618805960
2023/11/24,89.8156,89.9751,89.5066,89.5166,89.656,90.1,90.26,89.79,89.8,89.9398,20199626,-1.178,-1.0666,1818157132
2023/11/22,90.8324,91.0318,90.0948,90.5832,90.5457,91.12,91.32,90.38,90.87,90.8324,31215577,0.353,0.31899,2839209430
2023/11/21,90.2144,90.5134,89.6013,90.2642,90.1253,90.5,90.8,89.885,90.55,90.4107,27720966,-0.044,-0.039874,2512723778
2023/11/20,89.3372,90.3689,89.3272,90.3041,89.982,89.62,90.655,89.61,90.59,90.2669,40517570,0.611,0.548264,3658745029
2023/11/17,89.8755,90.1396,89.3529,89.7558,89.7153,90.16,90.425,89.6358,90.04,89.9994,44100610,0.469,0.418675,3969996120
2023/11/16,89.0182,89.6761,88.9683,89.3372,89.3707,89.3,89.96,89.25,89.62,89.6536,49473882,1.243,1.0965,4439028382
2023/11/15,88.7291,88.8587,88.0313,88.2406,88.3217,89.01,89.14,88.31,88.52,88.6013,56205295,-1.403,-1.256,5023417380
2023/11/14,89.716,89.8655,89.0082,89.4967,89.4408,90,90.15,89.29,89.78,89.724,65666823,2.267,1.9837,5893860616
2023/11/13,86.9447,87.6625,86.6257,87.5129,87.2216,87.22,87.94,86.9,87.79,87.4978,25661516,-0.227,-0.199369,2251658531
2023/11/10,87.9466,88.1459,87.4979,87.7123,87.7801,88.225,88.425,87.7749,87.99,88.058,36594021,0.56,0.488454,3229425225
2023/11/9,88.6593,88.749,86.4662,87.2238,87.4451,88.94,89.03,86.74,87.5,87.722,88975095,-2.3,-2.0535,7808493980
2023/11/8,88.2008,89.3372,88.1709,89.2773,88.96,88.48,89.62,88.45,89.56,89.2416,53893384,1.703,1.4953,4808029627
2023/11/7,87.3335,88.2207,87.3136,87.7821,87.7371,87.61,88.5,87.59,88.06,88.0149,37834193,1.475,1.276,3331000736
2023/11/6,86.7952,86.9248,86.3267,86.5061,86.5853,87.07,87.2,86.6,86.78,86.8594,41341870,-0.97,-0.847318,3591397503
2023/11/3,88.5297,88.769,87.2986,87.3534,87.9827,88.81,89.05,87.575,87.63,88.2613,77692250,0.678,0.588138,6874111031
2023/11/2,86.4015,87.0345,85.9479,86.7653,86.5307,86.675,87.31,86.22,87.04,86.8046,69739356,2.28,1.9339,6058042423
2023/11/1,83.7748,84.8514,83.7548,84.8314,84.514,84.04,85.12,84.02,85.1,84.7815,72308463,2.169,1.8006,6214420076
2023/10/31,83.8107,84.213,83.0011,83.0309,83.6826,84.365,84.77,83.55,83.58,84.2361,37269235,-0.488,-0.407305,3141353217
2023/10/30,83.2594,83.9448,82.6931,83.4382,83.3324,83.81,84.5,83.24,83.99,83.8836,45026920,-0.45,-0.377504,3776844194
2023/10/27,83.6369,84.4117,83.1898,83.8157,83.6528,84.19,84.97,83.74,84.37,84.206,32362270,-0.425,-0.357635,2725981746
2023/10/26,82.9315,84.2578,82.852,84.1733,83.6495,83.48,84.815,83.4,84.73,84.2027,49704075,1.534,1.2716,4200261008
2023/10/25,83.468,83.5773,82.5838,82.9017,83.0562,84.02,84.13,83.13,83.45,83.6055,60737170,-2.226,-1.8875,5127778421
2023/10/24,83.8852,84.7892,83.5375,84.7892,84.312,84.44,85.35,84.09,85.35,84.8696,46267684,1.318,1.1027,3927540588
2023/10/23,82.2659,84.3025,81.8785,83.6865,83.3658,82.81,84.86,82.42,84.24,83.9171,70890435,1.201,0.99343,5947830924
2023/10/20,82.4447,82.9911,82.2262,82.6931,82.6552,82.99,83.54,82.77,83.24,83.2019,52188750,0.568,0.466911,4344345989
2023/10/19,83.3289,84.0144,82.1964,82.2262,82.809,83.88,84.57,82.74,82.77,83.3567,87696929,-2.047,-1.7186,7313243940
2023/10/18,83.8256,84.1634,83.2991,83.9448,83.7715,84.38,84.72,83.85,84.5,84.3255,63724616,-0.88,-0.745072,5374427010
2023/10/17,84.3323,85.0673,83.9493,84.6899,84.5417,84.89,85.6299,84.5045,85.25,85.1008,52949096,-1.102,-0.943759,4507961879
2023/10/16,85.6237,85.8025,85.3356,85.6337,85.5926,86.19,86.37,85.9,86.2,86.1587,38309794,-1.609,-1.4007,3307161827
2023/10/13,87.0245,87.2529,86.5973,87.0344,86.914,87.6,87.83,87.17,87.61,87.4889,44203089,1.789,1.5299,3877211700
2023/10/12,87.4715,87.61,85.3605,85.5045,86.0755,88.05,88.1894,85.925,86.07,86.6448,66986734,-2.713,-2.3842,5807980433
2023/10/11,87.2728,87.8887,87.0245,87.8887,87.4921,87.85,88.47,87.6,88.47,88.0707,58517653,2.089,1.7981,5164002581
