"日期","收市","開市","高","低","升跌（%）"
"2023-12-1","4.209","4.321","4.349","4.198","-2.80%"
"2023-11-30","4.330","4.267","4.369","4.247","1.67%"
"2023-11-29","4.259","4.319","4.328","4.253","-1.51%"
"2023-11-28","4.325","4.402","4.422","4.321","-1.50%"
"2023-11-27","4.390","4.492","4.514","4.381","-1.83%"
"2023-11-24","4.472","4.451","4.494","4.443","0.44%"
"2023-11-23","4.453","4.405","4.464","4.391","1.02%"
"2023-11-22","4.408","4.394","4.447","4.363","0.22%"
"2023-11-21","4.398","4.414","4.443","4.383","-0.62%"
"2023-11-20","4.426","4.461","4.488","4.410","-0.31%"
"2023-11-17","4.439","4.439","4.469","4.379","-0.05%"
"2023-11-16","4.441","4.523","4.527","4.432","-2.11%"
"2023-11-15","4.537","4.445","4.559","4.426","1.89%"
"2023-11-14","4.453","4.644","4.656","4.432","-3.98%"
"2023-11-13","4.638","4.654","4.696","4.624","-0.17%"
"2023-11-10","4.646","4.640","4.654","4.567","0.30%"
"2023-11-9","4.632","4.484","4.654","4.473","3.11%"
"2023-11-8","4.492","4.579","4.614","4.488","-1.67%"
"2023-11-7","4.569","4.639","4.662","4.544","-1.69%"
"2023-11-6","4.647","4.589","4.668","4.576","1.54%"
"2023-11-3","4.576","4.662","4.678","4.484","-1.82%"
"2023-11-2","4.661","4.717","4.749","4.626","-1.54%"
"2023-11-1","4.734","4.926","4.935","4.734","-3.90%"
"2023-10-31","4.926","4.892","4.933","4.803","0.79%"
"2023-10-30","4.888","4.877","4.922","4.835","0.88%"
"2023-10-27","4.845","4.853","4.892","4.830","-0.07%"
"2023-10-26","4.849","4.949","4.989","4.838","-2.27%"
"2023-10-25","4.961","4.823","4.966","4.806","2.96%"
"2023-10-24","4.819","4.859","4.889","4.800","-0.61%"
"2023-10-23","4.848","4.958","5.021","4.829","-1.34%"
"2023-10-20","4.914","4.988","4.995","4.892","-1.53%"
"2023-10-19","4.990","4.938","4.996","4.894","1.61%"
"2023-10-18","4.911","4.838","4.928","4.811","1.54%"
"2023-10-17","4.836","4.714","4.862","4.704","2.90%"
"2023-10-16","4.700","4.648","4.725","4.643","1.80%"
"2023-10-13","4.616","4.695","4.697","4.586","-1.71%"
"2023-10-12","4.697","4.558","4.728","4.530","3.04%"
"2023-10-11","4.558","4.655","4.655","4.544","-2.12%"
"2023-10-10","4.657","4.628","4.715","4.618","0.63%"
